cat,from_cat,airport_distance,airport
0,9,740801.008515814,Ardmore Aerodrome
1,9,866222.566170137,Whangarei Airport
2,9,741620.384393625,Thames Aerodrome
3,9,932967.60507599,Kaitaia Aerodrome
4,9,917073.071201758,Bay of Islands Airport
5,9,459521.328248434,Manapouri Aerodrome
6,9,474218.201769448,Invercargill Airport
7,9,336187.503153741,Dunedin Airport
8,9,325395.80658901,Alexandra Airport
9,9,356022.727228623,Queenstown Airport
10,9,208846.689890331,Oamaru Airport
11,9,146682.729924879,Timaru Airport
12,9,203781.183935228,Aoraki/Mount Cook Airport
13,9,8073.08729414042,Christchurch International Airport
14,9,156323.440369936,Hokitika Airport
15,9,160242.738694437,Greymouth Aerodrome
16,9,208510.770068617,Westport Airport
17,9,244802.32260578,Nelson Airport
18,9,238143.794392855,Marlborough Airport
19,9,296971.34634596,Wellington International Airport
20,9,370950.298239686,Hood Aerodrome
21,9,435977.321090735,Wanganui Airport
22,9,427576.064308269,Palmerston North Airport
23,9,567163.261492372,Hawke's Bay Airport
24,9,510844.135734758,New Plymouth Airport
25,9,598311.887104915,Taupo Airport
26,9,661526.983454401,Hamilton Airport
27,9,670317.542879251,Rotorua Airport
28,9,713247.393390465,Whakatane Airport
29,9,709374.066614409,Tauranga Airport
30,9,696615.069973801,Gisborne Airport
31,9,738921.176482263,Auckland International Airport
